ORDERDATE,CUSTOMERNAME,TERRITORY,PRODUCTLINE,Revenue,Profit,YEAR,MONTH,QUARTER
05-01-2023,Acme Corp,North America,Electronics,999.95,299.99,2023,January,Q1
12-01-2023,Globex,Europe,Motorcycles,269.97,80.99,2023,January,Q1
18-01-2023,Initech,Asia,Furniture,599.9,179.97,2023,January,Q1
03-02-2023,Umbrella Corp,North America,Electronics,499.98,149.99,2023,February,Q1
14-02-2023,Hooli,Europe,Furniture,559.93,167.98,2023,February,Q1
25-02-2023,Vehement Capital,Asia,Motorcycles,399.96,119.99,2023,February,Q1
08-03-2023,Stark Ind,North America,Electronics,1439.92,431.98,2023,March,Q1
19-03-2023,Wayne Ent,Europe,Furniture,419.94,125.98,2023,March,Q1
29-03-2023,Pied Piper,Asia,Motorcycles,129.99,39,2023,March,Q1
05-04-2023,Vandelay Ind,North America,Electronics,1439.91,431.97,2023,April,Q2
15-04-2023,Dunder Mifflin,Europe,Furniture,599.88,179.96,2023,April,Q2
28-04-2023,Bluth Company,Asia,Motorcycles,549.95,165,2023,April,Q2
10-05-2023,Wonka Ind,North America,Electronics,899.97,269.99,2023,May,Q2
22-05-2023,Oscorp,Europe,Furniture,379.95,113.99,2023,May,Q2
07-06-2023,Cyberdyne,Asia,Motorcycles,689.94,206.98,2023,June,Q2
18-06-2023,Tessier-Ashpool,North America,Electronics,1199.96,359.99,2023,June,Q2
01-07-2023,Rekall,Europe,Furniture,499.97,149.99,2023,July,Q3
14-07-2023,Soylent Corp,Asia,Motorcycles,359.98,108,2023,July,Q3
09-08-2023,Tyrell Corp,North America,Electronics,1599.95,479.99,2023,August,Q3
25-08-2023,Spacely Sprockets,Europe,Furniture,429.96,128.99,2023,August,Q3
